id,company_id,year_raw,operating_activity,investing_activity,financing_activity,net_cash_flow,year
62,ABB,Mar 2014,155.0,-144.0,-42.0,-31.0,Mar 2014
73,ABB,Mar 2014,0.0,0.0,0.0,0.0,Mar 2014
63,ABB,Mar 2015,215.0,-187.0,-58.0,-30.0,Mar 2015
74,ABB,Mar 2015,-35.0,-1864.0,1902.0,3.0,Mar 2015
64,ABB,Mar 2016,249.0,-77.0,-80.0,91.0,Mar 2016
75,ABB,Mar 2016,1544.0,-816.0,-722.0,6.0,Mar 2016
65,ABB,Mar 2017,307.0,-155.0,-90.0,62.0,Mar 2017
76,ABB,Mar 2017,2189.0,-1730.0,-455.0,4.0,Mar 2017
66,ABB,Mar 2018,153.0,-215.0,-102.0,-165.0,Mar 2018
77,ABB,Mar 2018,2198.0,-3192.0,1589.0,596.0,Mar 2018
67,ABB,Mar 2019,499.0,-257.0,-143.0,99.0,Mar 2019
78,ABB,Mar 2019,2591.0,-3050.0,38.0,-421.0,Mar 2019
68,ABB,Mar 2020,626.0,-401.0,-217.0,8.0,Mar 2020
79,ABB,Mar 2020,5437.0,-5643.0,1250.0,1045.0,Mar 2020
69,ABB,Mar 2021,727.0,-72.0,-582.0,73.0,Mar 2021
80,ABB,Mar 2021,3784.0,-4009.0,-745.0,-969.0,Mar 2021
70,ABB,Mar 2022,948.0,-396.0,-637.0,-86.0,Mar 2022
81,ABB,Mar 2022,4097.0,-3936.0,-235.0,-75.0,Mar 2022
71,ABB,Mar 2023,893.0,-148.0,-639.0,107.0,Mar 2023
82,ABB,Mar 2023,3777.0,-4699.0,923.0,2.0,Mar 2023
72,ABB,Mar 2024,1213.0,-416.0,-745.0,52.0,Mar 2024
83,ABB,Mar 2024,6038.0,-4943.0,-543.0,551.0,Mar 2024
208,BAJAJ-AUTO,Mar 2013,2218.0,-1394.0,-1445.0,-621.0,Mar 2013
220,BAJAJ-AUTO,Mar 2013,2218.0,-1394.0,-1445.0,-621.0,Mar 2013
