id,company_id,year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets
253,ASIANPAINT,Mar 2013,96.0,3288,251,3149,6784,2441,59,296,3989,6784
254,ASIANPAINT,Mar 2014,96.0,3943,249,3787,8075,2562,72,1424,4019,8075
255,ASIANPAINT,Mar 2015,96.0,4646,418,3754,8914,2660,196,1588,4471,8914
256,ASIANPAINT,Mar 2016,96.0,6429,323,3711,10559,3416,107,2712,4324,10559
257,ASIANPAINT,Mar 2017,96.0,7508,560,4241,12405,3304,258,2652,6192,12405
258,ASIANPAINT,Mar 2018,96.0,8314,533,4820,13763,3732,1405,2141,6485,13763
259,ASIANPAINT,Mar 2019,96.0,9375,1320,5459,16249,6497,210,2569,6974,16249
260,ASIANPAINT,Mar 2020,96.0,10034,1118,4889,16138,6272,140,2019,7707,16138
261,ASIANPAINT,Mar 2021,96.0,12710,1093,6456,20355,5859,183,4737,9577,20355
262,ASIANPAINT,Mar 2022,96.0,13716,1587,7560,22958,5519,426,3248,13765,22958
263,ASIANPAINT,Mar 2023,96.0,15896,1933,7854,25779,5770,1020,4262,14728,25779
264,ASIANPAINT,Mar 2024,96.0,18632,2474,8698,29901,7147,2698,4588,15468,29901
265,ASIANPAINT,Sep 2024,96.0,17928,2516,8934,29474,7879,2272,3695,15629,29474
266,ASIANPAINT,Mar 2013,96.0,3288,251,3149,6784,2441,59,296,3989,6784
267,ASIANPAINT,Mar 2014,96.0,3943,249,3787,8075,2562,72,1424,4019,8075
268,ASIANPAINT,Mar 2015,96.0,4646,418,3754,8914,2660,196,1588,4471,8914
269,ASIANPAINT,Mar 2016,96.0,6429,323,3711,10559,3416,107,2712,4324,10559
270,ASIANPAINT,Mar 2017,96.0,7508,560,4241,12405,3304,258,2652,6192,12405
271,ASIANPAINT,Mar 2018,96.0,8314,533,4820,13763,3732,1405,2141,6485,13763
272,ASIANPAINT,Mar 2019,96.0,9375,1320,5459,16249,6497,210,2569,6974,16249
273,ASIANPAINT,Mar 2020,96.0,10034,1118,4889,16138,6272,140,2019,7707,16138
274,ASIANPAINT,Mar 2021,96.0,12710,1093,6456,20355,5859,183,4737,9577,20355
275,ASIANPAINT,Mar 2022,96.0,13716,1587,7560,22958,5519,426,3248,13765,22958
