company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr
ADANIPOWER,2017,-27.3,26.44,-205.8,17.49,0.39,0.32,3513.0,1212.0,-16.0,7.78,0.0,52484.0,4725.0
ADANIPOWER,2018,-10.36,26.77,-236.56,59.43,1.11,0.29,4581.0,520.0,-5.0,2.3,0.0,52835.0,5101.0
BAJAJHLDNG,2013,550.74,95.55,17.94,0.0,,0.03,104.0,369.0,167.0,931.98,15.0,0.0,473.0
BAJAJHLDNG,2014,469.98,94.56,16.57,0.0,,0.03,353.0,519.0,179.0,1080.99,17.0,0.0,872.0
BAJAJHLDNG,2015,387.21,92.37,15.15,0.0,,0.04,332.0,464.0,182.0,1206.58,19.0,0.0,796.0
BAJAJHLDNG,2016,481.91,91.28,14.81,0.0,,0.03,2166.0,1019.0,204.0,1377.75,16.0,0.0,1147.0
BAJAJHLDNG,2017,293.71,74.58,13.88,0.0,,0.05,-1295.0,372.0,222.0,1605.23,15.0,0.0,-923.0
BAJAJHLDNG,2018,632.14,84.52,10.54,0.0,,0.02,508.0,1123.0,239.0,2270.36,17.0,0.0,1631.0
BAJAJHLDNG,2019,707.19,80.51,11.31,0.0,,0.02,465.0,163.0,274.0,2428.11,12.0,0.0,628.0
BAJAJHLDNG,2020,708.05,69.2,11.09,0.01,258.38,0.01,1120.0,800.0,269.0,2501.17,15.0,168.0,1920.0
BAJAJHLDNG,2021,799.56,77.02,9.83,0.0,950.75,0.01,-36.0,308.0,328.0,3348.38,12.0,136.0,272.0
BAJAJHLDNG,2022,852.48,75.83,9.63,0.0,1421.0,0.01,1459.0,151.0,364.0,3859.64,32.0,114.0,1610.0
BAJAJHLDNG,2023,947.51,72.8,11.19,0.0,721.86,0.01,1591.0,137.0,436.0,3980.36,28.0,93.0,1728.0
BAJAJHLDNG,2024,432.73,91.77,13.58,0.0,3764.5,0.03,1469.0,472.0,653.0,4887.12,20.0,63.0,1941.0
BEL,2013,14.52,10.66,15183.33,4.0,184.43,139.4,214.0,1753.0,1.0,30.0,20.0,24.0,-1539.0
BEL,2014,14.61,14.19,13600.0,3.0,194.71,141.7,190.0,759.0,1.0,35.0,20.0,21.0,-569.0
BEL,2015,16.88,16.62,17100.0,3.71,240.86,144.76,595.0,839.0,2.0,35.0,20.0,26.0,1434.0
BEL,2016,18.18,18.94,11141.67,2.08,196.6,141.42,790.0,1470.0,2.0,13.33,31.0,25.0,2260.0
BEL,2017,17.59,20.7,10153.33,1.93,122.89,112.42,3054.0,3115.0,2.0,16.67,33.0,29.0,-61.0
BEL,2018,13.76,19.6,4616.13,1.55,372.5,85.96,-693.0,6.0,2.0,31.0,34.0,48.0,-687.0
BEL,2019,15.51,23.91,3851.02,0.96,186.38,96.54,618.0,896.0,3.0,44.55,44.0,47.0,1514.0
BEL,2020,14.07,21.28,3318.18,0.8,357.25,106.3,1921.0,649.0,3.0,50.0,37.0,44.0,2570.0
BEL,2021,14.88,22.78,3559.32,0.83,333.9,92.82,2498.0,2595.0,3.0,53.64,46.0,49.0,5093.0
BEL,2022,15.62,21.76,3478.26,0.84,397.33,94.28,-665.0,4872.0,3.0,62.73,46.0,58.0,4207.0
BEL,2023,16.84,23.06,3981.33,0.52,230.05,123.15,3907.0,2708.0,4.0,68.18,44.0,39.0,1199.0
BEL,2024,19.66,24.92,4744.05,0.51,476.75,125.89,-1265.0,5924.0,5.0,76.36,40.0,43.0,4659.0
HAL,2016,11.92,14.79,1665.0,0.15,679.33,95.22,,,28.0,240.0,31.0,18.0,
